description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont | Stephen King | Frank Darabont | Tim Robbins | Morgan Freeman,82.0,142,1,9.3,1994,The Shawshank Redemption,3112194
"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Kátia Lund | Fernando Meirelles | Bráulio Mantovani | Paulo Lins | Alexandre Rodrigues,79.0,130,26,8.6,2002,City of God,852061
A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Frank Darabont | Stephen King | Frank Darabont | Tom Hanks | David Morse,61.0,189,25,8.6,1999,The Green Mile,1518073
"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",Steven Spielberg | Robert Rodat | Tom Hanks | Tom Sizemore | Edward Burns,91.0,169,24,8.6,1998,Saving Private Ryan,1599168
"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",Akira Kurosawa | Akira Kurosawa | Shinobu Hashimoto | Hideo Oguni | Toshirô Mifune,98.0,207,23,8.6,1954,Seven Samurai,391800
"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",Jonathan Demme | Thomas Harris | Ted Tally | Jodie Foster | Anthony Hopkins,86.0,118,22,8.6,1991,The Silence of the Lambs,1671521
An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,Frank Capra | Frances Goodrich | Albert Hackett | Frank Capra | James Stewart,89.0,130,21,8.6,1946,It's a Wonderful Life,536113
"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher | Andrew Kevin Walker | Morgan Freeman | Andrew Kevin Walker | Daniel Zacapa,65.0,127,20,8.6,1995,Se7en,1961111
"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",Milos Forman | Lawrence Hauben | Bo Goldman | Ken Kesey | Michael Berryman,84.0,133,19,8.7,1975,One Flew Over the Cuckoo's Nest,1134905
description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont | Stephen King | Frank Darabont | Tim Robbins | Morgan Freeman,82.0,142,1,9.3,1994,The Shawshank Redemption,3112194
"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",Roberto Benigni | Vincenzo Cerami | Roberto Benigni | Roberto Benigni | Nicoletta Braschi,58.0,116,27,8.6,1997,Life Is Beautiful,793029
"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",Kátia Lund | Fernando Meirelles | Bráulio Mantovani | Paulo Lins | Alexandre Rodrigues,79.0,130,26,8.6,2002,City of God,852061
A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,Frank Darabont | Stephen King | Frank Darabont | Tom Hanks | David Morse,61.0,189,25,8.6,1999,The Green Mile,1518073
"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.",Steven Spielberg | Robert Rodat | Tom Hanks | Tom Sizemore | Edward Burns,91.0,169,24,8.6,1998,Saving Private Ryan,1599168
