description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont | Stephen King | Frank Darabont | Tim Robbins | Morgan Freeman,82.0,142,1,9.3,1994,The Shawshank Redemption,3112194
"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski | Lilly Wachowski | Lilly Wachowski | Lana Wachowski | Keanu Reeves,73.0,136,16,8.7,1999,The Matrix,2195610
"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner | Leigh Brackett | Lawrence Kasdan | George Lucas | Mark Hamill,82.0,124,15,8.7,1980,Star Wars: Episode V - The Empire Strikes Back,1470376
"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan | Christopher Nolan | Leonardo DiCaprio | Joseph Gordon-Levitt | Elliot Page,74.0,148,14,8.8,2010,Inception,2742784
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher | Chuck Palahniuk | Jim Uhls | Edward Norton | Brad Pitt,67.0,139,13,8.8,1999,Fight Club,2527626
"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis | Winston Groom | Eric Roth | Tom Hanks | Rebecca Williams,82.0,142,12,8.8,1994,Forrest Gump,2430364
"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson | J.R.R. Tolkien | Fran Walsh | Philippa Boyens | Bruce Allpress,87.0,179,11,8.8,2002,The Lord of the Rings: The Two Towers,1908058
A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone | Luciano Vincenzoni | Sergio Leone | Agenore Incrocci | Eli Wallach,90.0,178,10,8.8,1966,"The Good, the Bad and the Ugly",871127
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino | Quentin Tarantino | Roger Avary | Tim Roth | Amanda Plummer,95.0,154,9,8.8,1994,Pulp Fiction,2378363
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Peter Jackson | J.R.R. Tolkien | Fran Walsh | Philippa Boyens | Alan Howard,92.0,178,8,8.9,2001,The Lord of the Rings: The Fellowship of the Ring,2149440
"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg | Thomas Keneally | Steven Zaillian | Liam Neeson | Ben Kingsley,95.0,195,7,9.0,1993,Schindler's List,1551521
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Peter Jackson | J.R.R. Tolkien | Fran Walsh | Philippa Boyens | Noel Appleby,94.0,201,6,9.0,2003,The Lord of the Rings: The Return of the King,2114518
description,main_actors,metascore,movie_length_minutes,movie_rank,rating,release_year,title,vote_count
"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",Frank Darabont | Stephen King | Frank Darabont | Tim Robbins | Morgan Freeman,82.0,142,1,9.3,1994,The Shawshank Redemption,3112194
An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.,Frank Capra | Frances Goodrich | Albert Hackett | Frank Capra | James Stewart,89.0,130,21,8.6,1946,It's a Wonderful Life,536113
"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",David Fincher | Andrew Kevin Walker | Morgan Freeman | Andrew Kevin Walker | Daniel Zacapa,65.0,127,20,8.6,1995,Se7en,1961111
"A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse.",Milos Forman | Lawrence Hauben | Bo Goldman | Ken Kesey | Michael Berryman,84.0,133,19,8.7,1975,One Flew Over the Cuckoo's Nest,1134905
"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",Christopher Nolan | Jonathan Nolan | Christopher Nolan | Ellen Burstyn | Matthew McConaughey,74.0,169,18,8.7,2014,Interstellar,2421149
"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",Martin Scorsese | Nicholas Pileggi | Martin Scorsese | Robert De Niro | Ray Liotta,92.0,145,17,8.7,1990,Goodfellas,1355102
"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Lana Wachowski | Lilly Wachowski | Lilly Wachowski | Lana Wachowski | Keanu Reeves,73.0,136,16,8.7,1999,The Matrix,2195610
"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",Irvin Kershner | Leigh Brackett | Lawrence Kasdan | George Lucas | Mark Hamill,82.0,124,15,8.7,1980,Star Wars: Episode V - The Empire Strikes Back,1470376
"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan | Christopher Nolan | Leonardo DiCaprio | Joseph Gordon-Levitt | Elliot Page,74.0,148,14,8.8,2010,Inception,2742784
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,David Fincher | Chuck Palahniuk | Jim Uhls | Edward Norton | Brad Pitt,67.0,139,13,8.8,1999,Fight Club,2527626
"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",Robert Zemeckis | Winston Groom | Eric Roth | Tom Hanks | Rebecca Williams,82.0,142,12,8.8,1994,Forrest Gump,2430364
"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",Peter Jackson | J.R.R. Tolkien | Fran Walsh | Philippa Boyens | Bruce Allpress,87.0,179,11,8.8,2002,The Lord of the Rings: The Two Towers,1908058
A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Sergio Leone | Luciano Vincenzoni | Sergio Leone | Agenore Incrocci | Eli Wallach,90.0,178,10,8.8,1966,"The Good, the Bad and the Ugly",871127
"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",Quentin Tarantino | Quentin Tarantino | Roger Avary | Tim Roth | Amanda Plummer,95.0,154,9,8.8,1994,Pulp Fiction,2378363
